id,fiscal_year,budget_stage,agency,region,province,city_municipality,possible_congressional_district,implementing_office,project_title,project_type,amount,amount_display,location_clarity,title_specificity,needs_manual_review_score,review_label,review_reason,is_large_allocation_score,citizen_readability,source_name,source_url,source_page,source_pdf_page,row_level,parent_row_id,is_leaf,extraction_confidence,extraction_note,raw_text
DPWH-2026-004-00024,2026,NEP,DPWH,,,,,,TOTAL AGENCY BUDGET,other,881312559000.0,"₱881,312,559,000",unclear,broad,0.91,Unclear Location,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,717,4,agency_total,,0,summary_adapter,Extracted by the dedicated summary-page adapter for this official PDF layout.,TOTAL AGENCY BUDGET
DPWH-2026-001-00001,2026,NEP,DPWH,,,,,,New General Appropriations,other,880008893000.0,"₱880,008,893,000",unclear,broad,0.91,Unclear Location,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,714,1,financial_summary,,0,financial_summary_adapter,Printed page 714 reports this FY 2026 amount in thousand pesos; the published amount is converted to pesos.,New General Appropriations
DPWH-2026-001-00002,2026,NEP,DPWH,,,,,,General Fund,other,880008893000.0,"₱880,008,893,000",unclear,broad,0.91,Unclear Location,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,714,1,financial_summary,,0,financial_summary_adapter,Printed page 714 reports this FY 2026 amount in thousand pesos; the published amount is converted to pesos.,General Fund
DPWH-2026-005-00059,2026,NEP,DPWH,,,,,,TOTAL AGENCY BUDGET,other,880008893000.0,"₱880,008,893,000",unclear,broad,0.91,Unclear Location,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,718,5,agency_total,,0,summary_adapter,Extracted by the dedicated summary-page adapter for this official PDF layout.,TOTAL AGENCY BUDGET
DPWH-2026-178-02098,2026,NEP,DPWH,National Capital Region (NCR),,,,,TOTAL NEW APPROPRIATIONS,other,880008893000.0,"₱880,008,893,000",region_only,broad,0.88,Broad Project Title,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,891,178,agency_total,DPWH-2026-178-02092,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,TOTAL NEW APPROPRIATIONS
DPWH-2026-004-00016,2026,NEP,DPWH,,,,,,Operations,other,777113909000.0,"₱777,113,909,000",unclear,broad,0.94,Unclear Location,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,717,4,agency_summary,,0,summary_adapter,Extracted by the dedicated summary-page adapter for this official PDF layout.,Operations
DPWH-2026-004-00025,2026,NEP,DPWH,,,,,,Regular,other,767092853000.0,"₱767,092,853,000",unclear,broad,0.95,Unclear Location,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,717,4,agency_summary,,0,summary_adapter,Extracted by the dedicated summary-page adapter for this official PDF layout.,Regular
DPWH-2026-166-01871,2026,NEP,DPWH,Region X - Northern Mindanao,,,,,"Sub-total, Program(s)",other,765789187000.0,"₱765,789,187,000",region_only,broad,0.92,Broad Project Title,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,879,166,subtotal,DPWH-2026-166-01868,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,"Sub-total, Program(s)"
DPWH-2026-004-00028,2026,NEP,DPWH,,,,,,co,other,724742700000.0,"₱724,742,700,000",unclear,broad,0.96,Unclear Location,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,717,4,agency_summary,,0,summary_adapter,Extracted by the dedicated summary-page adapter for this official PDF layout.,co
DPWH-2026-005-00040,2026,NEP,DPWH,,,,,,CENTRAL OFFICE,unknown,700471901000.0,"₱700,471,901,000",unclear,broad,0.93,Unclear Location,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,718,5,central_office_summary,,0,summary_adapter,Extracted by the dedicated summary-page adapter for this official PDF layout.,CENTRAL OFFICE
